Dates,10:30 22 Jun. 2026,Place,Trackman Bay

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle,Dynamic Loft,ImpactHorizontal,ImpactVertical,ClubSpeed,SmashFactor
9 Iron,0,105.4,L0.8,24.1,8184,L4.1,8108,L508,47.8,138.4,140.1,L4.8,54.8,R0.6,L1.1,-4.8,32.8,T1.2,-18.8,38.1,1.34
9 Iron,1,102.1,R2.4,25.1,8548,R8.4,8388,R959,46.4,131.8,133.4,R11.4,55.8,R1.8,R2.8,-4.6,33.8,T9.4,-21.4,37.4,1.33
9 Iron,2,106.8,L0.4,23.8,8084,L2.1,8028,L222,48.4,140.8,142.8,L2.8,54.4,R0.4,L0.8,-5.1,32.4,T0.4,-18.1,38.4,1.34
9 Iron,3,100.2,L4.8,25.8,8924,L21.4,8628,L2288,44.4,127.4,129.2,L22.8,56.8,L1.2,L4.2,-4.2,34.4,H13.8,-24.4,37.1,1.33
9 Iron,4,104.2,R1.2,24.4,8284,R4.8,8198,R469,47.4,136.2,138.1,R7.1,55.1,R1.2,R1.4,-4.8,33.1,T2.8,-19.4,37.8,1.33
9 Iron,5,103.1,L1.8,24.8,8424,L8.8,8288,L882,46.8,134.1,136.1,L9.8,55.4,L0.4,L2.1,-4.6,33.4,H5.4,-20.8,37.4,1.33
PW,0,101.4,L0.8,28.4,9184,L3.8,9118,L484,42.4,123.8,125.4,L4.8,55.4,R0.6,L1.2,-5.1,38.8,T1.2,-17.8,36.4,1.27
PW,1,97.8,R2.4,27.4,8648,R8.1,8484,R920,40.4,117.4,119.2,R11.2,54.4,R1.8,R2.6,-4.8,37.4,T9.4,-20.4,35.8,1.24
PW,2,102.8,L0.4,28.8,9324,L2.1,9268,L228,43.1,125.8,127.4,L2.8,55.8,R0.4,L0.8,-5.4,39.4,T0.4,-16.8,36.6,1.27
PW,3,95.4,L4.8,29.4,9788,L21.4,9464,L2288,39.2,113.2,114.8,L22.4,56.4,L1.2,L4.1,-4.4,40.1,H13.4,-23.4,35.4,1.24
PW,4,100.4,R1.2,28.1,9048,R4.8,8964,R468,42.1,121.8,123.4,R7.1,55.1,R1.2,R1.2,-5.1,38.4,T2.8,-18.4,36.1,1.26
PW,5,99.2,L1.8,28.6,9188,L8.4,9044,L860,41.8,119.4,121.1,L9.8,55.4,L0.4,L2.1,-4.9,38.8,H5.4,-19.4,35.8,1.26
GW,0,94.8,L0.8,30.4,9848,L4.1,9764,L508,39.4,111.4,113.1,L4.8,57.4,R0.6,L1.1,-5.4,41.4,T1.2,-16.8,35.1,1.24
GW,1,91.4,R2.4,31.4,10284,R8.4,10084,R968,37.8,104.8,106.4,R11.4,58.4,R1.8,R2.8,-5.1,42.4,T9.4,-19.4,34.4,1.22
GW,2,95.8,L0.4,30.1,9748,L2.1,9684,L228,40.1,113.4,115.1,L2.8,57.1,R0.4,L0.8,-5.6,41.1,T0.4,-16.1,35.4,1.24
GW,3,89.4,L4.8,32.1,10784,L21.4,10464,L2284,36.4,101.2,102.8,L22.4,59.1,L1.2,L4.2,-4.8,43.1,H13.8,-23.1,34.1,1.22
GW,4,93.2,R1.2,30.8,9984,R5.1,9884,R474,39.1,109.4,111.1,R7.4,57.8,R1.2,R1.4,-5.4,41.8,T2.8,-17.4,34.8,1.23
GW,5,92.1,L1.8,31.1,10124,L8.4,9968,L864,38.4,107.2,108.8,L9.8,58.1,L0.4,L2.1,-5.2,42.1,H5.4,-18.8,34.4,1.22
SW,0,87.8,L0.8,33.4,11284,L4.1,11184,L484,37.4,98.8,100.4,L4.8,60.4,R0.6,L1.2,-5.8,44.4,T1.2,-15.4,34.1,1.22
SW,1,84.4,R2.4,34.4,11784,R9.1,11548,R1048,35.8,92.1,93.8,R12.1,61.4,R1.8,R2.8,-5.6,45.4,T10.4,-18.4,33.4,1.21
SW,2,88.8,L0.4,33.1,11184,L2.1,11108,L232,38.1,100.4,102.1,L2.8,60.1,R0.4,L0.8,-6.1,44.1,T0.4,-14.8,34.4,1.22
SW,3,82.2,L4.8,35.1,12284,L21.8,11944,L2324,34.4,88.4,90.1,L22.8,62.1,L1.2,L4.2,-5.2,46.1,H14.2,-22.4,33.1,1.21
SW,4,86.4,R1.2,33.8,11484,R5.1,11368,R468,37.1,96.2,97.8,R7.4,60.8,R1.2,R1.4,-5.8,44.8,T2.8,-16.4,33.8,1.21
SW,5,85.2,L1.8,34.1,11584,L8.8,11408,L876,36.4,94.1,95.8,L9.8,61.1,L0.4,L2.1,-5.6,45.1,H5.8,-17.8,33.4,1.21
LW,0,80.4,L0.8,36.4,12484,L4.8,12368,L512,34.4,86.8,88.4,L4.8,63.4,R0.6,L1.2,-6.2,47.4,T1.2,-14.4,33.1,1.20
LW,1,77.2,R2.4,37.4,12984,R9.8,12724,R1068,32.8,80.4,82.1,R12.1,64.4,R1.8,R2.8,-6.1,48.4,T10.8,-17.4,32.4,1.18
LW,2,81.4,L0.4,36.1,12384,L2.1,12288,L228,35.1,88.4,90.1,L2.8,63.1,R0.4,L0.8,-6.4,47.1,T0.4,-13.8,33.4,1.20
LW,3,75.8,L5.1,38.1,13484,L22.4,13124,L2384,31.8,77.2,78.8,L22.8,65.1,L1.2,L4.4,-5.8,49.1,H14.8,-21.4,32.1,1.18
LW,4,79.2,R1.2,36.8,12684,R5.4,12548,R478,34.1,84.8,86.4,R7.4,63.8,R1.2,R1.4,-6.2,47.8,T2.8,-15.4,32.8,1.19
LW,5,78.1,L1.8,37.1,12784,L8.8,12588,L872,33.4,82.4,84.1,L9.8,64.1,L0.4,L2.1,-6.1,48.1,H6.2,-16.8,32.4,1.19
